GEO_ID,NAME,Total Population,Less than High School Grads,lessthanhs/totalpop
51001,"Accomack County, Virginia",24436,4331,177
51003,"Albemarle County, Virginia",75879,5069,67
51005,"Alleghany County, Virginia",11228,1201,107
51007,"Amelia County, Virginia",9591,1395,145
51009,"Amherst County, Virginia",22673,2798,123
51011,"Appomattox County, Virginia",11353,1261,111
51013,"Arlington County, Virginia",173477,8860,51
51015,"Augusta County, Virginia",56608,5976,106
51017,"Bath County, Virginia",3334,495,148
51019,"Bedford County, Virginia",57492,4409,77
51021,"Bland County, Virginia",4931,547,111
51023,"Botetourt County, Virginia",24740,1531,62
51025,"Brunswick County, Virginia",11861,2561,216
51027,"Buchanan County, Virginia",15564,4090,263
51029,"Buckingham County, Virginia",12618,2419,192
51031,"Campbell County, Virginia",40115,4239,106
51033,"Caroline County, Virginia",21121,2394,113
51035,"Carroll County, Virginia",21881,4036,184
51036,"Charles City County, Virginia",5354,916,171
51037,"Charlotte County, Virginia",8156,1265,155
51041,"Chesterfield County, Virginia",242701,18029,74
51043,"Clarke County, Virginia",10755,895,83
51045,"Craig County, Virginia",3516,400,114
51047,"Culpeper County, Virginia",35013,3895,111
51049,"Cumberland County, Virginia",7228,865,120
51051,"Dickenson County, Virginia",10547,2112,200
51053,"Dinwiddie County, Virginia",19877,2246,113
51057,"Essex County, Virginia",7678,1178,153
51059,"Fairfax County, Virginia",781797,51874,66
51061,"Fauquier County, Virginia",49983,3579,72
51063,"Floyd County, Virginia",11622,1139,98
51065,"Fluvanna County, Virginia",19973,1301,65
51067,"Franklin County, Virginia",39915,4338,109
51069,"Frederick County, Virginia",62627,7295,116
51071,"Giles County, Virginia",12199,1231,101
51073,"Gloucester County, Virginia",28221,2982,106
51075,"Goochland County, Virginia",18322,1098,60
51077,"Grayson County, Virginia",11652,2020,173
51079,"Greene County, Virginia",14115,1640,116
51081,"Greensville County, Virginia",8814,2010,228
51083,"Halifax County, Virginia",24723,4270,173
51085,"Hanover County, Virginia",75856,4694,62
51087,"Henrico County, Virginia",231190,16841,73
51089,"Henry County, Virginia",37437,7162,191
51091,"Highland County, Virginia",1688,133,79
51093,"Isle of Wight County, Virginia",27469,2483,90
51095,"James City County, Virginia",56345,2490,44
51097,"King and Queen County, Virginia",5240,615,117
51099,"King George County, Virginia",17651,1361,77
51101,"King William County, Virginia",12078,896,74
51103,"Lancaster County, Virginia",8688,877,101
51105,"Lee County, Virginia",16969,3428,202
51107,"Loudoun County, Virginia",266804,15832,59
51109,"Louisa County, Virginia",27131,2940,108
51111,"Lunenburg County, Virginia",8702,1764,203
51113,"Madison County, Virginia",10001,1236,124
51115,"Mathews County, Virginia",6437,474,74
51117,"Mecklenburg County, Virginia",22521,3048,135
51119,"Middlesex County, Virginia",8438,1017,121
51121,"Montgomery County, Virginia",56661,3294,58
51125,"Nelson County, Virginia",11151,1729,155
51127,"New Kent County, Virginia",16472,1107,67
