GEO_ID,NAME,B06009_002E
51001,"Accomack County, Virginia",4331
51003,"Albemarle County, Virginia",5069
51005,"Alleghany County, Virginia",1201
51007,"Amelia County, Virginia",1395
51009,"Amherst County, Virginia",2798
51011,"Appomattox County, Virginia",1261
51013,"Arlington County, Virginia",8860
51015,"Augusta County, Virginia",5976
51017,"Bath County, Virginia",495
51019,"Bedford County, Virginia",4409
51021,"Bland County, Virginia",547
51023,"Botetourt County, Virginia",1531
51025,"Brunswick County, Virginia",2561
51027,"Buchanan County, Virginia",4090
51029,"Buckingham County, Virginia",2419
51031,"Campbell County, Virginia",4239
51033,"Caroline County, Virginia",2394
51035,"Carroll County, Virginia",4036
51036,"Charles City County, Virginia",916
51037,"Charlotte County, Virginia",1265
51041,"Chesterfield County, Virginia",18029
51043,"Clarke County, Virginia",895
51045,"Craig County, Virginia",400
51047,"Culpeper County, Virginia",3895
51049,"Cumberland County, Virginia",865
51051,"Dickenson County, Virginia",2112
51053,"Dinwiddie County, Virginia",2246
51057,"Essex County, Virginia",1178
51059,"Fairfax County, Virginia",51874
51061,"Fauquier County, Virginia",3579
51063,"Floyd County, Virginia",1139
51065,"Fluvanna County, Virginia",1301
51067,"Franklin County, Virginia",4338
51069,"Frederick County, Virginia",7295
51071,"Giles County, Virginia",1231
51073,"Gloucester County, Virginia",2982
51075,"Goochland County, Virginia",1098
51077,"Grayson County, Virginia",2020
51079,"Greene County, Virginia",1640
51081,"Greensville County, Virginia",2010
51083,"Halifax County, Virginia",4270
51085,"Hanover County, Virginia",4694
51087,"Henrico County, Virginia",16841
51089,"Henry County, Virginia",7162
51091,"Highland County, Virginia",133
51093,"Isle of Wight County, Virginia",2483
51095,"James City County, Virginia",2490
51097,"King and Queen County, Virginia",615
51099,"King George County, Virginia",1361
51101,"King William County, Virginia",896
51103,"Lancaster County, Virginia",877
51105,"Lee County, Virginia",3428
51107,"Loudoun County, Virginia",15832
51109,"Louisa County, Virginia",2940
51111,"Lunenburg County, Virginia",1764
51113,"Madison County, Virginia",1236
51115,"Mathews County, Virginia",474
51117,"Mecklenburg County, Virginia",3048
51119,"Middlesex County, Virginia",1017
51121,"Montgomery County, Virginia",3294
51125,"Nelson County, Virginia",1729
51127,"New Kent County, Virginia",1107
51131,"Northampton County, Virginia",1285
51133,"Northumberland County, Virginia",893
51135,"Nottoway County, Virginia",1879
51137,"Orange County, Virginia",2659
51139,"Page County, Virginia",2949
51141,"Patrick County, Virginia",2280
51143,"Pittsylvania County, Virginia",7194
51145,"Powhatan County, Virginia",1950
51147,"Prince Edward County, Virginia",1798
51149,"Prince George County, Virginia",3287
51153,"Prince William County, Virginia",31771
51155,"Pulaski County, Virginia",2696
51157,"Rappahannock County, Virginia",464
51159,"Richmond County, Virginia",1525
51161,"Roanoke County, Virginia",4521
51163,"Rockbridge County, Virginia",1838
51165,"Rockingham County, Virginia",7881
51167,"Russell County, Virginia",3510
51169,"Scott County, Virginia",2896
51171,"Shenandoah County, Virginia",3474
51173,"Smyth County, Virginia",3476
51175,"Southampton County, Virginia",1941
51177,"Spotsylvania County, Virginia",7807
51179,"Stafford County, Virginia",6724
51181,"Surry County, Virginia",724
51183,"Sussex County, Virginia",1640
51185,"Tazewell County, Virginia",4478
51187,"Warren County, Virginia",3286
51191,"Washington County, Virginia",4858
51193,"Westmoreland County, Virginia",2284
51195,"Wise County, Virginia",5722
51197,"Wythe County, Virginia",2322
51199,"York County, Virginia",2245
51510,"Alexandria city, Virginia",8213
51520,"Bristol city, Virginia",1625
51530,"Buena Vista city, Virginia",825
51540,"Charlottesville city, Virginia",2291
51550,"Chesapeake city, Virginia",10807
51570,"Colonial Heights city, Virginia",1072
51580,"Covington city, Virginia",449
51590,"Danville city, Virginia",4682
51595,"Emporia city, Virginia",972
51600,"Fairfax city, Virginia",1176
51610,"Falls Church city, Virginia",262
51620,"Franklin city, Virginia",937
51630,"Fredericksburg city, Virginia",1511
51640,"Galax city, Virginia",972
51650,"Hampton city, Virginia",6817
51660,"Harrisonburg city, Virginia",4416
51670,"Hopewell city, Virginia",2239
51678,"Lexington city, Virginia",113
51680,"Lynchburg city, Virginia",4500
51683,"Manassas city, Virginia",3920
51685,"Manassas Park city, Virginia",2286
51690,"Martinsville city, Virginia",1040
51700,"Newport News city, Virginia",10139
51710,"Norfolk city, Virginia",16695
51720,"Norton city, Virginia",300
51730,"Petersburg city, Virginia",3486
51735,"Poquoson city, Virginia",386
51740,"Portsmouth city, Virginia",6402
51750,"Radford city, Virginia",581
51760,"Richmond city, Virginia",19617
51770,"Roanoke city, Virginia",8202
51775,"Salem city, Virginia",1165
51790,"Staunton city, Virginia",1522
51800,"Suffolk city, Virginia",5829
51810,"Virginia Beach city, Virginia",17439
51820,"Waynesboro city, Virginia",1918
51830,"Williamsburg city, Virginia",529
51840,"Winchester city, Virginia",2396
